symbol
RMO
CBAY
RCMT
ACB
COTY
EXPE
JHG
KERN
PINS
FMC
FOLD
IIVI
SAVA
OEG
GDDY
AY
PLTR
NUS
YELP
COMS
WW
AEM
OPEN
ZNGA
DLPN
DVA
RDFN
CC
AQUA
RAD
KODK
LEN
ATEN
PRCH
WKHS
QMCO
POWW
TCDA
FRX
LEDS
VXRT
ACIU
SPCE
DDOG
LB
CLSK
EAF
ARCT
HTBX
ANGI
BL
FSLY
TVTX
NKLA
JE
CGIX
RESN
M
VCVC
GTHX
OTIC
GMBL
SRNE
GLMD
KOSS
NPA
TRUE
PHM
GLBS
SVMK
SQZ
WES
IMVT
VNDA
UAA
ABIO
BLMN
GOCO
MBRX
CURI
SONO
AXL
RIDE
AHCO
USEG
KMPH
HEXO
TLRY
SFM
MYOV
APDN
BW
MOSY
DNMR
FUSE
ZNTE
AREC
THBR
WISH
CLVS
CRDF
AFRM
NWL
VKTX
ZYNE
ELY
FCAC
OCGN
ALUS
CREE
HYLN
BIGC
CARG
QUOT
NET
DDD
MP
ACIC
TPR
EVGN
OPCH
AVYA
